id,type,wait_time,exec_time
634,1024-1024,259941700.0,1345724.1379310344
624,1024-4096,480195800.0,21371724.137931034
630,1024-8192,424038700.0,85355862.06896552
633,1024-8192,365297600.0,85355862.06896552
637,512-512,286411400.0,113754.03141361257
641,512-512,206411400.0,113754.03141361257
644,512-1024,146743700.0,446058.6387434555
645,512-4096,133439700.0,7028298.4293193715
638,4096-128,274558200.0,118402.44215938303
648,4096-256,74817800.0,456702.44215938303
640,4096-512,236352600.0,1794325.1928020567
646,4096-512,116690900.0,1794325.1928020567
626,2048-256,518043100.0,208440.0
651,2048-256,17820700.0,208440.0
627,2048-512,498866100.0,822960.0
561,2048-2048,1831954700.0,13044000.0
566,2048-2048,1732777700.0,13044000.0
652,1024-256,12719900.0,86862.75862068965
649,1024-4096,94059500.0,21371724.137931034
650,2048-2048,88103500.0,13044000.0
560,2048-4096,1928241500.0,52092000.0
654,1024-128,48083800.0,22852.41379310345
656,1024-512,8377200.0,340165.5172413793
655,4096-1024,36489300.0,7112075.835475579
636,4096-2048,437898500.0,28328084.832904886
631,4096-4096,629726300.0,113043766.06683806
662,256-128,10522100.0,5276.14598540146
658,256-1024,90775900.0,259054.01459854015
647,256-8192,326750600.0,16076905.109489052
661,1024-256,47680700.0,86862.75862068965
659,1024-1024,88939600.0,1345724.1379310344
660,512-512,70053400.0,113754.03141361257
657,512-2048,131721400.0,1765774.8691099477
663,512-2048,11698500.0,1765774.8691099477
595,2048-4096,1425782200.0,52092000.0
601,2048-4096,1305326000.0,52092000.0
665,256-256,25799000.0,18064.642335766424
664,2048-256,47007500.0,208440.0
608,2048-4096,1219436100.0,52092000.0
666,2048-4096,59099500.0,52092000.0
667,1024-256,40167900.0,86862.75862068965
668,2048-4096,73259900.0,52092000.0
410,2048-8192,5396597800.0,208200000.0
678,1024-128,30019900.0,22852.41379310345
671,1024-512,170629100.0,340165.5172413793
673,1024-1024,131342800.0,1345724.1379310344
670,1024-4096,211683600.0,21371724.137931034
675,1024-8192,175693100.0,85355862.06896552
680,256-128,76644600.0,5276.14598540146
681,256-1024,56849500.0,259054.01459854015
